ADMIN,LAT,LON
Afghanistan,33.83147477,66.02621828
Albania,41.13180899,20.06882519
Algeria,28.16474462,2.63351219
American Samoa,-14.30440488,-170.70783
Andorra,42.55527067,1.578938861
Angola,-12.3755731,17.59867248
Anguilla,18.22301491,-63.06006462
Antarctica,-80.45066299,21.43458373
Antigua and Barbuda,17.07120733,-61.79815058
Argentina,-34.98567234,-65.12225892
Armenia,40.29202499,44.9429026
Aruba,12.5156546,-69.9757266
Australia,-25.40546125,134.2181189
Austria,47.59086187,14.13920086
Azerbaijan,40.42670781,47.80669468
Bahamas,25.90317684,-78.61665744
Bahrain,26.05396006,50.53486327
Bangladesh,23.88207427,90.24107264
Barbados,13.184952,-59.55382245
Belarus,53.53965016,28.04932937
Belgium,50.64206011,4.658786236
Belize,17.20829609,-88.69988922
Benin,9.642665015,2.342864021
Bermuda,32.31605051,-64.73984042
Bhutan,27.41443467,90.43085885
Bolivia (Plurinational State of),-16.71483757,-64.66829843
Bosnia and Herzegovina,44.16506495,17.79105724
Botswana,-22.17991766,23.81673035
Bouvet Island,-54.42190835,3.412516924
Brazil,-10.77518961,-53.09141767
British Indian Ocean Territory,-7.334186151,72.43402037
British Virgin Islands,18.30332154,-65.11493198
Brunei Darussalam,4.439247073,114.4374636
Bulgaria,42.76069057,25.23572028
Burkina Faso,12.27790144,-1.738649343
Burundi,-3.356208708,29.89200134
Côte d'Ivoire,7.630087005,-5.552402136
Cabo Verde,17.52133998,-24.58506404
Cambodia,12.71583138,104.9221723
Cameroon,5.68036831,12.74068837
Canada,61.4126317,-98.23039804
Cayman Islands,19.31065556,-81.20426038
Central African Republic,6.570747926,20.48450088
Chad,15.35740495,18.66399556
Chile,-37.68386885,-71.33321859
China,36.67464756,103.8680636
"China, Hong Kong Special Administrative Region",22.4216098,114.1539976
"China, Macao Special Administrative Region",22.1985265,113.5450075
Christmas Island,-10.44411458,105.7036972
Cocos (Keeling) Islands,-12.17127014,96.83690355
Colombia,3.897367041,-73.07080696
Comoros,-11.42407818,42.8293551
Congo,-0.83949506,15.22629207
Cook Islands,-20.14332999,-159.7599857
Costa Rica,9.960735487,-84.18254176
Croatia,45.18877041,16.42353441
Cuba,21.6053525,-78.90713844
Cyprus,35.01941238,33.1666508
Czechia,49.74240068,15.34943448
Democratic People's Republic of Korea,40.14251168,127.1828259
Democratic Republic of the Congo,-2.876807692,23.65623593
Denmark,56.06439188,9.942213684
Djibouti,11.74658946,42.58022315
Dominica,15.42468124,-61.36047599
Dominican Republic,18.89453409,-70.49429315
Ecuador,-1.464036749,-78.05190165
Egypt,26.55281781,29.78562814
El Salvador,13.72764125,-88.86315324
Equatorial Guinea,1.412936146,10.61572825
Eritrea,15.37695899,38.82792338
Estonia,58.70758667,26.168216
Ethiopia,8.633664665,39.61587345
European Refugee Response Sub Regional Office,17.39137826,-64.67699419
Falkland Islands (Malvinas),-51.7638724,-55.8098409
Faroe Islands,61.50507,"	-6.769180"
Fiji,-17.713371,178.065033
Finland,64.52173893,26.29452799
France,46.6984015,2.350055968
French Guiana,3.928100844,-53.24266781
